id	starts	ends	duration	label	conn_label	pname
1	41186.9995	41206.9995	20	ecog_116	conn  2	ecog_gamma_M
2	41186.9995	41844.9995	658	ecog_117	conn  2	ecog_gamma_M
3	41186.9995	41844.9995	658	ecog_126	conn  1	ecog_gamma_M
4	41186.9995	41191.9995	5	ecog_138	conn  3	ecog_gamma_M
5	41186.9995	41844.9995	658	ecog_139	conn  3	ecog_gamma_M
6	41186.9995	41844.9995	658	ecog_143	conn  3	ecog_gamma_M
7	41186.9995	41844.9995	658	ecog_210	conn  5	ecog_gamma_M
8	41186.9995	41191.9995	5	ecog_234	conn  7	ecog_gamma_M
9	41186.9995	41190.9995	4	ecog_255	conn  8	ecog_gamma_M
10	41192	41843.9995	651.999499999991	ecog_118	conn  2	ecog_gamma_M
11	41192	41841.9995	649.999499999991	ecog_209	conn  5	ecog_gamma_M
12	41193.9995	41206.9995	13	ecog_115	conn  2	ecog_gamma_M
13	41193.9995	41195.9995	2	ecog_133	conn  3	ecog_gamma_M
14	41197.9995	41200.9995	3	ecog_229	conn  6	ecog_gamma_M
15	41199.9995	41201.9995	2	ecog_122	conn  1	ecog_gamma_M
16	41199.9995	41201.9995	2	ecog_123	conn  1	ecog_gamma_M
17	41199.9995	41201.9995	2	ecog_125	conn  1	ecog_gamma_M
18	41201.9995	41205.9995	4	ecog_211	conn  5	ecog_gamma_M
19	41209.9995	41211.9995	2	ecog_116	conn  2	ecog_gamma_M
20	41213.9995	41215.9995	2	ecog_115	conn  2	ecog_gamma_M
21	41214.9995	41216.9995	2	ecog_232	conn  6	ecog_gamma_M
22	41220.9995	41223.9995	3	ecog_124	conn  1	ecog_gamma_M
23	41220.9995	41222.9995	2	ecog_125	conn  1	ecog_gamma_M
24	41222.9995	41225.9995	3	ecog_211	conn  5	ecog_gamma_M
25	41223.9995	41226.9995	3	ecog_138	conn  3	ecog_gamma_M
26	41223.9995	41226.9995	3	ecog_230	conn  6	ecog_gamma_M
27	41229.9995	41231.9995	2	ecog_115	conn  2	ecog_gamma_M
28	41231.9995	41243.9995	12	ecog_124	conn  1	ecog_gamma_M
29	41232.9995	41238.9995	6	ecog_254	conn  8	ecog_gamma_M
30	41235.9995	41237.9995	2	ecog_115	conn  2	ecog_gamma_M
31	41235.9995	41242.9995	7	ecog_116	conn  2	ecog_gamma_M
32	41235.9995	41239.9995	4	ecog_232	conn  6	ecog_gamma_M
33	41236.9995	41238.9995	2	ecog_123	conn  1	ecog_gamma_M
34	41236.9995	41238.9995	2	ecog_146	conn  3	ecog_gamma_M
35	41236.9995	41238.9995	2	ecog_229	conn  6	ecog_gamma_M
36	41237.9995	41239.9995	2	ecog_208	conn  5	ecog_gamma_M
37	41246.9995	41249.9995	3	ecog_146	conn  3	ecog_gamma_M
38	41250.9995	41253.9995	3	ecog_153	conn  4	ecog_gamma_M
39	41250.9995	41254.9995	4	ecog_222	conn  6	ecog_gamma_M
40	41252.9995	41257.9995	5	ecog_124	conn  1	ecog_gamma_M
41	41254.9995	41258.9995	4	ecog_155	conn  4	ecog_gamma_M
42	41254.9995	41257.9995	3	ecog_258	conn  8	ecog_gamma_M
43	41259.9995	41264.9995	5	ecog_115	conn  2	ecog_gamma_M
44	41260.9995	41262.9995	2	ecog_230	conn  6	ecog_gamma_M
45	41261.9995	41263.9995	2	ecog_234	conn  7	ecog_gamma_M
46	41261.9995	41263.9995	2	ecog_255	conn  8	ecog_gamma_M
47	41267.9995	41272.9995	5	ecog_124	conn  1	ecog_gamma_M
48	41268.9995	41270.9995	2	ecog_230	conn  6	ecog_gamma_M
49	41270.9995	41272.9995	2	ecog_232	conn  6	ecog_gamma_M
50	41273.9995	41278.9995	5	ecog_115	conn  2	ecog_gamma_M
51	41273.9995	41275.9995	2	ecog_116	conn  2	ecog_gamma_M
52	41273.9995	41276.9995	3	ecog_125	conn  1	ecog_gamma_M
53	41279.9995	41281.9995	2	ecog_125	conn  1	ecog_gamma_M
54	41288.9995	41293.9995	5	ecog_115	conn  2	ecog_gamma_M
55	41288.9995	41290.9995	2	ecog_257	conn  8	ecog_gamma_M
56	41293.9995	41295.9995	2	ecog_230	conn  6	ecog_gamma_M
57	41294.9995	41297.9995	3	ecog_124	conn  1	ecog_gamma_M
58	41294.9995	41296.9995	2	ecog_125	conn  1	ecog_gamma_M
59	41294.9995	41297.9995	3	ecog_146	conn  3	ecog_gamma_M
60	41294.9995	41296.9995	2	ecog_234	conn  7	ecog_gamma_M
61	41298.9995	41301.9995	3	ecog_115	conn  2	ecog_gamma_M
62	41300.9995	41302.9995	2	ecog_230	conn  6	ecog_gamma_M
63	41300.9995	41307.9995	7	ecog_232	conn  6	ecog_gamma_M
64	41304.9995	41306.9995	2	ecog_234	conn  7	ecog_gamma_M
65	41304.9995	41307.9995	3	ecog_255	conn  8	ecog_gamma_M
66	41306.9995	41310.9995	4	ecog_146	conn  3	ecog_gamma_M
67	41307.9995	41309.9995	2	ecog_231	conn  6	ecog_gamma_M
68	41311.9995	41313.9995	2	ecog_116	conn  2	ecog_gamma_M
69	41315.9995	41318.9995	3	ecog_232	conn  6	ecog_gamma_M
70	41316.9995	41318.9995	2	ecog_138	conn  3	ecog_gamma_M
71	41316.9995	41318.9995	2	ecog_146	conn  3	ecog_gamma_M
72	41318.9995	41321.9995	3	ecog_115	conn  2	ecog_gamma_M
73	41320.9995	41323.9995	3	ecog_116	conn  2	ecog_gamma_M
74	41320.9995	41322.9995	2	ecog_155	conn  4	ecog_gamma_M
75	41320.9995	41322.9995	2	ecog_255	conn  8	ecog_gamma_M
76	41321.9995	41324.9995	3	ecog_124	conn  1	ecog_gamma_M
77	41321.9995	41323.9995	2	ecog_125	conn  1	ecog_gamma_M
78	41321.9995	41324.9995	3	ecog_146	conn  3	ecog_gamma_M
79	41325.9995	41328.9995	3	ecog_115	conn  2	ecog_gamma_M
80	41331.9995	41333.9995	2	ecog_230	conn  6	ecog_gamma_M
81	41332.9995	41336.9995	4	ecog_146	conn  3	ecog_gamma_M
82	41332.9995	41335.9995	3	ecog_229	conn  6	ecog_gamma_M
83	41334.9995	41339.9995	5	ecog_115	conn  2	ecog_gamma_M
84	41336.9995	41338.9995	2	ecog_116	conn  2	ecog_gamma_M
85	41336.9995	41338.9995	2	ecog_138	conn  3	ecog_gamma_M
86	41336.9995	41340.9995	4	ecog_222	conn  6	ecog_gamma_M
87	41337.9995	41339.9995	2	ecog_124	conn  1	ecog_gamma_M
88	41350.9995	41355.9995	5	ecog_231	conn  6	ecog_gamma_M
89	41351.9995	41353.9995	2	ecog_230	conn  6	ecog_gamma_M
90	41352.9995	41354.9995	2	ecog_219	conn  6	ecog_gamma_M
91	41352.9995	41354.9995	2	ecog_234	conn  7	ecog_gamma_M
92	41353.9995	41355.9995	2	ecog_124	conn  1	ecog_gamma_M
93	41357.9995	41360.9995	3	ecog_115	conn  2	ecog_gamma_M
94	41357.9995	41359.9995	2	ecog_248	conn  7	ecog_gamma_M
95	41357.9995	41359.9995	2	ecog_253	conn  8	ecog_gamma_M
96	41359.9995	41364.9995	5	ecog_124	conn  1	ecog_gamma_M
97	41362.9995	41365.9995	3	ecog_215	conn  5	ecog_gamma_M
98	41364.9995	41377.9995	13	ecog_116	conn  2	ecog_gamma_M
99	41368.9995	41373.9995	5	ecog_221	conn  6	ecog_gamma_M
100	41369.9995	41371.9995	2	ecog_138	conn  3	ecog_gamma_M
101	41370.9995	41377.9995	7	ecog_211	conn  5	ecog_gamma_M
102	41371.9995	41378.9995	7	ecog_107	conn  2	ecog_gamma_M
103	41371.9995	41374.9995	3	ecog_154	conn  4	ecog_gamma_M
104	41371.9995	41374.9995	3	ecog_155	conn  4	ecog_gamma_M
105	41376.9995	41378.9995	2	ecog_235	conn  7	ecog_gamma_M
106	41380.9995	41383.9995	3	ecog_116	conn  2	ecog_gamma_M
107	41385.9995	41392.9995	7	ecog_115	conn  2	ecog_gamma_M
108	41390.9995	41392.9995	2	ecog_230	conn  6	ecog_gamma_M
109	41392.9995	41395.9995	3	ecog_124	conn  1	ecog_gamma_M
110	41392.9995	41395.9995	3	ecog_231	conn  6	ecog_gamma_M
111	41395.9995	41397.9995	2	ecog_116	conn  2	ecog_gamma_M
112	41399.9995	41403.9995	4	ecog_115	conn  2	ecog_gamma_M
113	41401.9995	41403.9995	2	ecog_219	conn  6	ecog_gamma_M
114	41401.9995	41405.9995	4	ecog_232	conn  6	ecog_gamma_M
115	41402.9995	41404.9995	2	ecog_155	conn  4	ecog_gamma_M
116	41402.9995	41410.9995	8	ecog_211	conn  5	ecog_gamma_M
117	41405.9995	41411.9995	6	ecog_106	conn  2	ecog_gamma_M
118	41405.9995	41408.9995	3	ecog_160	conn  4	ecog_gamma_M
119	41408.9995	41419.9995	11	ecog_115	conn  2	ecog_gamma_M
120	41409.9995	41411.9995	2	ecog_229	conn  6	ecog_gamma_M
121	41410.9995	41412.9995	2	ecog_124	conn  1	ecog_gamma_M
122	41410.9995	41418.9995	8	ecog_146	conn  3	ecog_gamma_M
123	41414.9995	41417.9995	3	ecog_116	conn  2	ecog_gamma_M
124	41414.9995	41418.9995	4	ecog_234	conn  7	ecog_gamma_M
125	41416.9995	41418.9995	2	ecog_211	conn  5	ecog_gamma_M
126	41416.9995	41418.9995	2	ecog_254	conn  8	ecog_gamma_M
127	41419.9995	41421.9995	2	ecog_155	conn  4	ecog_gamma_M
128	41421.9995	41423.9995	2	ecog_231	conn  6	ecog_gamma_M
129	41422.9995	41424.9995	2	ecog_115	conn  2	ecog_gamma_M
130	41423.9995	41426.9995	3	ecog_160	conn  4	ecog_gamma_M
131	41424.9995	41427.9995	3	ecog_234	conn  7	ecog_gamma_M
132	41425.9995	41427.9995	2	ecog_125	conn  1	ecog_gamma_M
133	41428.9995	41431.9995	3	ecog_232	conn  6	ecog_gamma_M
134	41434.9995	41437.9995	3	ecog_211	conn  5	ecog_gamma_M
135	41434.9995	41440.9995	6	ecog_232	conn  6	ecog_gamma_M
136	41438.9995	41441.9995	3	ecog_230	conn  6	ecog_gamma_M
137	41439.9995	41442.9995	3	ecog_234	conn  7	ecog_gamma_M
138	41440.9995	41442.9995	2	ecog_211	conn  5	ecog_gamma_M
139	41440.9995	41442.9995	2	ecog_255	conn  8	ecog_gamma_M
140	41444.9995	41447.9995	3	ecog_116	conn  2	ecog_gamma_M
141	41444.9995	41475.9995	31	ecog_235	conn  7	ecog_gamma_M
142	41445.9995	41447.9995	2	ecog_255	conn  8	ecog_gamma_M
143	41446.9995	41461.9995	15	ecog_146	conn  3	ecog_gamma_M
144	41450.9995	41458.9995	8	ecog_231	conn  6	ecog_gamma_M
145	41453.9995	41456.9995	3	ecog_124	conn  1	ecog_gamma_M
146	41458.9995	41460.9995	2	ecog_230	conn  6	ecog_gamma_M
147	41461.9995	41464.9995	3	ecog_155	conn  4	ecog_gamma_M
148	41462.9995	41464.9995	2	ecog_234	conn  7	ecog_gamma_M
149	41466.9995	41474.9995	8	ecog_211	conn  5	ecog_gamma_M
150	41468.9995	41471.9995	3	ecog_215	conn  5	ecog_gamma_M
151	41471.9995	41475.9995	4	ecog_232	conn  6	ecog_gamma_M
152	41472.9995	41474.9995	2	ecog_230	conn  6	ecog_gamma_M
153	41473.9995	41481.9995	8	ecog_146	conn  3	ecog_gamma_M
154	41479.9995	41481.9995	2	ecog_261	conn  8	ecog_gamma_M
155	41482.9995	41490.9995	8	ecog_124	conn  1	ecog_gamma_M
156	41487.9995	41490.9995	3	ecog_125	conn  1	ecog_gamma_M
157	41491.9995	41502.9995	11	ecog_116	conn  2	ecog_gamma_M
158	41492.9995	41495.9995	3	ecog_231	conn  6	ecog_gamma_M
159	41496.9995	41498.9995	2	ecog_234	conn  7	ecog_gamma_M
160	41497.9995	41507.9995	10	ecog_115	conn  2	ecog_gamma_M
161	41498.9995	41501.9995	3	ecog_138	conn  3	ecog_gamma_M
