Row	stim	duration
ghah	ghah	0.285046814999077
ghee	ghee	0.318695436995768
ghoo	ghoo	0.278802210996218
sah	sah	0.343412091002392
see	see	0.36618829100189
soo	soo	0.354546250004205
tah	tah	0.306232843002363
tee	tee	0.339481748997059
too	too	0.34849761499936
vah	vah	0.363970664999215
vee	vee	0.369479241999215
voo	voo	0.373262436005461
